t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
8.3,0,-4.11232984986732e-15,0,0,0,-5.83009424213454e-17,0,0,31.8825,31.8825,0,1.67348482649777e-14,0,0,0,4.03248185080932e-15,0,0,31.8825,31.8825,0,1.67348482649777e-14,0,0,0,4.03248185080932e-15,0,0,31.8825,31.8825
8.4,0,-4.10601391443834e-15,0,0,0,1.84619651000911e-16,0,0,31.8825,31.8825,0,1.71404770718741e-14,0,0,0,4.08106596949377e-15,0,0,31.8825,31.8825,0,1.71404770718741e-14,0,0,0,4.08106596949377e-15,0,0,31.8825,31.8825
8.5,0,-4.07540591966714e-15,0,0,0,4.27540244423168e-16,0,0,31.8825,31.8825,0,1.75510614588764e-14,0,0,0,4.12965008817821e-15,0,0,31.8825,31.8825,0,1.75510614588764e-14,0,0,0,4.12965008817821e-15,0,0,31.8825,31.8825
8.6,0,-4.02050586555371e-15,0,0,0,6.70460837845423e-16,0,0,31.8825,31.8825,0,1.79664556736285e-14,0,0,0,4.17823420686266e-15,0,0,31.8825,31.8825,0,1.79664556736285e-14,0,0,0,4.17823420686266e-15,0,0,31.8825,31.8825
8.7,0,-3.94131375209805e-15,0,0,0,9.13381431267679e-16,0,0,31.8825,31.8825,0,1.83866597161303e-14,0,0,0,4.22681832554711e-15,0,0,31.8825,31.8825,0,1.83866597161303e-14,0,0,0,4.22681832554711e-15,0,0,31.8825,31.8825
8.8,0,-3.83782957930017e-15,0,0,0,1.15630202468993e-15,0,0,31.8825,31.8825,0,1.88118193387379e-14,0,0,0,4.27540244423156e-15,0,0,31.8825,31.8825,0,1.88118193387379e-14,0,0,0,4.27540244423156e-15,0,0,31.8825,31.8825
8.9,0,-3.71005334716007e-15,0,0,0,1.39922261811219e-15,0,0,31.8825,31.8825,0,1.92417887890953e-14,0,0,0,4.32398656291601e-15,0,0,31.8825,31.8825,0,1.92417887890953e-14,0,0,0,4.32398656291601e-15,0,0,31.8825,31.8825
9,0,-3.55798505567773e-15,0,0,0,1.64214321153445e-15,0,0,31.8825,31.8825,0,1.96765680672024e-14,0,0,0,4.37257068160045e-15,0,0,31.8825,31.8825,0,1.96765680672024e-14,0,0,0,4.37257068160045e-15,0,0,31.8825,31.8825
9.1,0,-3.38162470485318e-15,0,0,0,1.8850638049567e-15,0,0,31.8825,31.8825,0,2.01163029254154e-14,0,0,0,4.4211548002849e-15,0,0,31.8825,31.8825,0,2.01163029254154e-14,0,0,0,4.4211548002849e-15,0,0,31.8825,31.8825
9.2,0,-3.18097229468639e-15,0,0,0,2.12798439837896e-15,0,0,31.8825,31.8825,0,2.05608476113781e-14,0,0,0,4.46973891896935e-15,0,0,31.8825,31.8825,0,2.05608476113781e-14,0,0,0,4.46973891896935e-15,0,0,31.8825,31.8825
